DATE,PLANT,MATERIAL,RANKING
20210223,D144,10000069,1
20210223,D145,10000050,1
20210223,D145,10000069,1
20210224,D074,10000050,1
20210224,D075,10000050,1
20210224,D077,10000050,1
20210224,D079,10000050,1
20210224,D080,10000050,1
20210224,D081,10000050,1
20210224,D083,10000050,1
20210224,D083,10040465,1
20210224,D084,10000050,1
20210224,D084,10040465,1
20210224,D085,10000050,1
20210224,D086,10000050,1
20210224,D086,10000069,1
20210224,D093,10000050,1
20210224,D098,10000050,1
20210224,D105,10000050,1
20210224,D111,10000050,1
20210224,D111,10000906,1
20210224,D120,10000050,1
20210224,D144,10000050,1
20210224,D144,10000069,1
20210224,D145,10000050,1
20210224,D145,10000069,1
20210224,D677,10000050,1
20210225,D074,10000050,1
20210225,D075,10000050,1
20210225,D077,10000050,1
20210225,D079,10000050,1
20210225,D080,10000050,1
20210225,D081,10000050,1
20210225,D081,10040465,1
20210225,D083,10000050,1
20210225,D084,10000000,1
20210225,D084,10000050,1
20210225,D084,10040465,1
20210225,D085,10000050,1
20210225,D086,10000050,1
20210225,D086,10000069,1
20210225,D086,10040465,1
20210225,D093,10000050,1
20210225,D098,10000050,1
20210225,D101,10000050,1
20210225,D101,10000069,1
20210225,D105,10000050,1
20210225,D105,10000906,1
20210225,D105,10040465,1
20210225,D111,10000050,1
20210225,D111,10000906,1
20210225,D120,10000050,1
20210225,D144,10000050,1
20210225,D144,10000069,1
20210225,D145,10000050,1
20210225,D145,10000069,1
20210225,D677,10000050,1
20210226,D074,10000050,1
20210226,D075,10000050,1
20210226,D077,10000050,1
20210226,D079,10000050,1
20210226,D079,10000906,1
20210226,D080,10000050,1
20210226,D081,10000050,1
20210226,D083,10000050,1
20210226,D083,10040465,1
20210226,D084,10000050,1
20210226,D085,10000050,1
20210226,D086,10000050,1
20210226,D086,10000069,1
20210226,D093,10000050,1
20210226,D098,10000050,1
20210226,D101,10000050,1
20210226,D101,10000069,1
20210226,D105,10000050,1
20210226,D111,10000050,1
20210226,D120,10000050,1
20210226,D144,10000050,1
20210226,D144,10000069,1
20210226,D145,10000050,1
20210226,D145,10000069,1
20210226,D677,10000050,1
20210227,D074,10000050,1
20210227,D075,10000050,1
20210227,D077,10000050,1
20210227,D079,10000050,1
20210227,D079,10040465,1
20210227,D081,10000050,1
20210227,D083,10000050,1
20210227,D083,10040465,1
20210227,D084,10000050,1
20210227,D085,10000069,1
20210227,D086,10000050,1
20210227,D086,10000069,1
20210227,D093,10000050,1
20210227,D098,10000050,1
20210227,D101,10000050,1
20210227,D105,10000050,1
20210227,D111,10000050,1
20210227,D120,10000050,1
20210227,D144,10000050,1
20210227,D145,10000050,1
20210227,D145,10000069,1
20210227,D677,10000050,1
20210301,D074,10000050,1
20210301,D075,10000050,1
20210301,D077,10000050,1
20210301,D079,10000050,1
20210301,D081,10000050,1
20210301,D083,10000050,1
20210301,D084,10000050,1
20210301,D084,10000906,1
20210301,D085,10000050,1
20210301,D085,10000906,1
20210301,D093,10000050,1
20210301,D098,10000050,1
20210301,D105,10000050,1
20210301,D111,10000050,1
20210301,D111,10000906,1
20210301,D120,10000050,1
20210301,D144,10000050,1
20210301,D145,10000050,1
20210301,D145,10000069,1
20210301,D677,10000050,1
20210302,D074,10000050,1
20210302,D075,10000050,1
20210302,D077,10000050,1
20210302,D079,10000050,1
